ID,Data Fato,Bairro,Descricao Subclasse Natureza,Tentado Consumado,Descricao Meio Utilizado,Idade Aparente,Raca Cor,Escolaridade
1068,06/08/2024,PADRE LIBERIO,AMEACA,CONSUMADO,FALA,51.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
1069,06/08/2024,SION,AMEACA,CONSUMADO,FALA,28.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1070,06/09/2023,LAGOA DOS MANDARINS,AMEACA,CONSUMADO,FALA,47.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1071,06/09/2023,INTERLAGOS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,26.0,BRANCA,ALFABETIZADO
1072,06/09/2023,SAO JOAO DE DEUS,FURTO,TENTADO,EMPREGO DE CHAVE FALSA   MICHA   GAZUA,48.0,BRANCA,ESCOLARIDADE   IGNORADA
1073,06/09/2023,BELA VISTA,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,51.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1074,06/09/2023,CENTRO,FURTO,CONSUMADO,ABUSO DE CONFIANCA,58.0,BRANCA,ALFABETIZADO
1075,06/09/2023,CENTRO,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,43.0,BRANCA,OUTROS   ESCOLARIDADE
1076,06/09/2024,CHANADOUR,AMEACA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,46.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
1077,06/09/2024,SAO JOSE,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,64.0,BRANCA,SUPERIOR COMPLETO
1078,06/09/2024,CASA NOVA,AMEACA,CONSUMADO,FALA,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1079,06/09/2024,NACOES,AMEACA,CONSUMADO,FALA,31.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1080,06/09/2024,RANCHO ALEGRE,ESTELIONATO,CONSUMADO,FRAUDE,49.0,INDIGENA,ESCOLARIDADE   IGNORADA
1081,06/09/2024,SAO JOAO DE DEUS,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,52.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1082,06/09/2024,CENTRO,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,28.0,BRANCA,SUPERIOR INCOMPLETO
1083,06/09/2024,JARDINOPOLIS,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,65.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1084,06/09/2024,CENTRO,AMEACA,CONSUMADO,FALA,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1085,06/09/2024,PORTO VELHO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,48.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1086,06/10/2023,JARDIM CAPITAO SILVA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,28.0,PARDA,SUPERIOR INCOMPLETO
1087,06/10/2023,JARDINOPOLIS,INVASAO DE DISPOSITIVO INFORMATICO,CONSUMADO,FRAUDE,46.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1088,06/10/2023,CENTRO,ESTELIONATO,CONSUMADO,FRAUDE,21.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1089,06/10/2023,RANCHO ALEGRE,AMEACA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,24.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1090,06/10/2023,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,47.0,PARDA,SUPERIOR INCOMPLETO
1091,06/10/2023,VILA DAS ROSEIRAS,DIFAMACAO,CONSUMADO,FALA,31.0,BRANCA,SUPERIOR INCOMPLETO
1092,06/10/2023,SAO JOAO DE DEUS,ESTELIONATO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,34.0,BRANCA,SUPERIOR COMPLETO
1093,06/10/2023,CENTRO,FURTO,CONSUMADO,MEIO DESCONHECIDO,59.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1094,06/10/2024,CIDADE JARDIM,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,32.0,PARDA,ALFABETIZADO
1095,06/10/2024,ALVORADA,AMEACA,CONSUMADO,FALA,51.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1096,06/10/2024,NITEROI,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,31.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
1097,06/10/2024,BOM PASTOR,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,49.0,PARDA,SUPERIOR COMPLETO
1098,06/10/2024,SANTA CLARA,DIFAMACAO,CONSUMADO,FALA,31.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1099,06/10/2024,CENTRO,DIFAMACAO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,19.0,BRANCA,SUPERIOR INCOMPLETO
1100,06/10/2024,MANOEL VALINHAS,AMEACA,CONSUMADO,FALA,46.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1101,06/10/2024,BELVEDERE,FURTO,CONSUMADO,MEIO DESCONHECIDO,24.0,BRANCA,SUPERIOR COMPLETO
1102,06/10/2024,SAO SEBASTIAO,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,33.0,BRANCA,SUPERIOR COMPLETO
1103,06/10/2024,BELVEDERE,FURTO,CONSUMADO,ABUSO DE CONFIANCA,43.0,BRANCA,SUPERIOR COMPLETO
1104,06/10/2024,BELVEDERE,FURTO,CONSUMADO,ABUSO DE CONFIANCA,23.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1105,06/10/2024,BELVEDERE,FURTO,CONSUMADO,ABUSO DE CONFIANCA,25.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1106,06/10/2024,BELVEDERE,FURTO,CONSUMADO,ABUSO DE CONFIANCA,34.0,BRANCA,ESCOLARIDADE   IGNORADA
1107,06/10/2024,BELVEDERE,FURTO,CONSUMADO,MEIO DESCONHECIDO,29.0,BRANCA,SUPERIOR COMPLETO
1108,06/11/2023,CENTRO,ESTELIONATO,CONSUMADO,FRAUDE,23.0,PARDA,SUPERIOR COMPLETO
1109,06/11/2023,BOM PASTOR,OUTRAS INFRACOES CONTRA O PATRIMONIO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,45.0,BRANCA,SUPERIOR INCOMPLETO
1110,06/11/2023,ICARAI,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,28.0,BRANCA,ESCOLARIDADE   IGNORADA
1111,06/11/2023,ESPIRITO SANTO,AMEACA,CONSUMADO,FALA,27.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1112,06/11/2023,CENTRO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,44.0,PRETO,SUPERIOR COMPLETO
1113,06/11/2023,ANCHIETA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,21.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1114,06/11/2023,PADRE LIBERIO,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,53.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1115,06/11/2023,JARDIM NOVA AMERICA,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,50.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1116,06/11/2023,CENTRO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,23.0,PARDA,SUPERIOR COMPLETO
1117,06/11/2024,SAO JUDAS TADEU,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,55.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1118,06/11/2024,CENTRO,ESTELIONATO,CONSUMADO,FRAUDE,29.0,BRANCA,SUPERIOR COMPLETO
1119,06/11/2024,CIDADE JARDIM,AMEACA,CONSUMADO,FALA,42.0,PARDA,SUPERIOR COMPLETO
1120,06/11/2024,DANILO PASSOS,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1121,06/11/2024,JARDIM CAPITAO SILVA,ROUBO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,25.0,BRANCA,SUPERIOR COMPLETO
1122,06/11/2024,PONTE FUNDA,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,69.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1123,06/11/2024,SANTA TEREZA,ESTELIONATO,CONSUMADO,FRAUDE,58.0,BRANCA,SUPERIOR COMPLETO
1124,06/11/2024,SANTA CLARA,DANO,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1125,06/11/2024,JARDINOPOLIS,AMEACA,CONSUMADO,FALA,48.0,PRETO,ALFABETIZADO
1126,06/12/2023,INTERLAGOS,AMEACA,CONSUMADO,FALA,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1127,06/12/2023,PADRE EUSTAQUIO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,29.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1128,06/12/2023,CENTRO,DIFAMACAO,CONSUMADO,FALA,48.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1129,06/12/2023,MORADA NOVA,SEQUESTRO E CARCERE PRIVADO,CONSUMADO,VIOLENCIA OU GRAVE AMEACA,26.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1130,06/12/2023,CENTRO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,35.0,PARDA,ALFABETIZADO
1131,06/12/2023,VILA BELO HORIZONTE,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,61.0,BRANCA,SUPERIOR COMPLETO
1132,06/12/2023,SAO JOSE,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1133,06/12/2023,DONA QUITA,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,20.0,BRANCA,ALFABETIZADO
1134,06/12/2023,REALENGO,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,21.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1135,06/12/2023,DOUTOR JOSE TOMAZ,ESTELIONATO,CONSUMADO,FRAUDE,46.0,BRANCA,SUPERIOR COMPLETO
1136,06/12/2024,WALCHIR RESENDE,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1137,06/12/2024,SAO JOAO DE DEUS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,58.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1138,06/12/2024,CENTRO,VIAS DE FATO   AGRESSAO,CONSUMADO,ABUSO DE CONFIANCA,24.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1139,06/12/2024,SERRA VERDE,ESTELIONATO,CONSUMADO,FRAUDE,32.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1140,06/12/2024,ALTEROSA,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,49.0,BRANCA,SUPERIOR COMPLETO
1141,06/12/2024,CENTRO,FURTO,CONSUMADO,ABUSO DE CONFIANCA,54.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1142,06/12/2024,ANTONIO FONSECA,FURTO,CONSUMADO,ABUSO DE CONFIANCA,28.0,BRANCA,SUPERIOR COMPLETO
1143,06/12/2024,TERRA AZUL,AMEACA,CONSUMADO,FALA,40.0,PARDA,ALFABETIZADO
1144,06/12/2024,NITEROI,ESTELIONATO,CONSUMADO,FRAUDE,69.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1145,06/12/2024,CENTRO,FURTO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,24.0,BRANCA,SUPERIOR INCOMPLETO
1146,07/01/2023,NOSSA SENHORA DAS GRACAS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,60.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1147,07/01/2023,NOVA HOLANDA,AMEACA,CONSUMADO,FALA,20.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1148,07/01/2023,ESPLANADA,AMEACA,CONSUMADO,FALA,69.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1149,07/01/2023,SANTA CLARA,ROUBO,CONSUMADO,ARMAS DE FOGO,25.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1150,07/01/2024,VALE DO SOL,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,63.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1151,07/01/2024,VILA DAS ROSEIRAS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,49.0,BRANCA,ALFABETIZADO
1152,07/01/2024,DEL REY,AMEACA,CONSUMADO,FALA,66.0,PARDA,ESCOLARIDADE   IGNORADA
1153,07/01/2024,SAO LUIZ,AMEACA,CONSUMADO,FALA,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1154,07/01/2024,BOM PASTOR,AMEACA,CONSUMADO,FALA,49.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1155,07/01/2024,PRIMAVERA,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,20.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1156,07/01/2024,CENTRO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,34.0,BRANCA,ESCOLARIDADE   IGNORADA
1157,07/02/2023,JARDIM PRIMAVERA,ESTELIONATO,CONSUMADO,FRAUDE,56.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1158,07/02/2023,VILA BELO HORIZONTE,ESTELIONATO,CONSUMADO,FRAUDE,30.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1159,07/02/2023,ICARAI,AMEACA,CONSUMADO,ESCRITA FISICA,24.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1160,07/02/2023,NOSSA SENHORA DAS GRACAS,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,62.0,PRETO,ALFABETIZADO
1161,07/02/2023,BELA VISTA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,45.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1162,07/02/2023,BOM PASTOR,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,41.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1163,07/02/2023,DANILO PASSOS,INJURIA,CONSUMADO,FALA,67.0,BRANCA,ESCOLARIDADE   IGNORADA
1164,07/02/2023,IPIRANGA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,59.0,BRANCA,ALFABETIZADO
1165,07/02/2024,CENTRO,CONSTRANGIMENTO ILEGAL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,51.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1166,07/02/2024,SANTA ROSA,ROUBO,CONSUMADO,ARMAS DE FOGO,37.0,PARDA,ALFABETIZADO
1167,07/02/2024,ESPLANADA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1168,07/02/2024,CENTRO,INJURIA,CONSUMADO,FALA,39.0,BRANCA,SUPERIOR COMPLETO
1169,07/02/2024,SANTO ANTONIO,AMEACA,CONSUMADO,ESCRITA FISICA,23.0,BRANCA,SUPERIOR INCOMPLETO
1170,07/03/2023,PORTO VELHO,AMEACA,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,27.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1171,07/03/2023,AFONSO PENA,AMEACA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,17.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
1172,07/03/2023,REALENGO,FURTO,CONSUMADO,MEIO DESCONHECIDO,52.0,BRANCA,POS GRADUACAO
1173,07/03/2023,PORTO VELHO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,52.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1174,07/03/2023,ALTEROSA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,32.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1175,07/03/2024,SANTA CLARA,ESTELIONATO,CONSUMADO,FRAUDE,46.0,PARDA,SUPERIOR COMPLETO
1176,07/03/2024,SANTA LUCIA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,34.0,PARDA,ALFABETIZADO
1177,07/03/2024,NITEROI,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,64.0,BRANCA,ALFABETIZADO
1178,07/03/2024,PONTE FUNDA,AMEACA,CONSUMADO,FALA,25.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1179,07/03/2024,CENTRO,DANO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,56.0,PARDA,ALFABETIZADO
1180,07/03/2024,BOM PASTOR,VIAS DE FATO   AGRESSAO,CONSUMADO,VIOLENCIA OU VIAS DE FATO,23.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1181,07/03/2024,EXPOSICAO,AMEACA,CONSUMADO,FALA,22.0,PRETO,SUPERIOR INCOMPLETO
1182,07/03/2024,FABIO NOTINI,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,38.0,PRETO,SUPERIOR COMPLETO
1183,07/03/2024,PARAISO,ESTELIONATO,CONSUMADO,MEIO DESCONHECIDO,34.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1184,07/04/2023,PORTO VELHO,FURTO,CONSUMADO,ARROMBAMENTO ROMPIMENTO DE OBSTACULO,39.0,BRANCA,SUPERIOR COMPLETO
1185,07/04/2023,PONTE FUNDA,AMEACA,CONSUMADO,FALA,55.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1186,07/04/2023,NITEROI,OUTROS INFRACOES C  A PESSOA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,87.0,PARDA,ALFABETIZADO
1187,07/04/2023,SAGRADA FAMILIA,ESTELIONATO,CONSUMADO,ABUSO DE CONFIANCA,56.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1188,07/04/2023,PARAISO,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,23.0,PRETO,SUPERIOR INCOMPLETO
1189,07/04/2023,CENTRO,ESTUPRO DE VULNERAVEL,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,18.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1190,07/04/2023,AFONSO PENA,AMEACA,CONSUMADO,FALA,44.0,PARDA,ALFABETIZADO
1191,07/04/2023,PADRE EUSTAQUIO,AMEACA,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1192,07/04/2024,TERRA AZUL,LESAO CORPORAL,CONSUMADO,INST CONTUNDENTE CORTANTE PERFURANTE  ARMA BR,33.0,PARDA,ALFABETIZADO
1193,07/04/2024,PORTO VELHO,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,63.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1194,07/04/2024,CENTRO,AMEACA,CONSUMADO,FALA,65.0,BRANCA,SUPERIOR COMPLETO
1195,07/04/2024,PLANALTO,FURTO,CONSUMADO,MEIO DESCONHECIDO,34.0,BRANCA,SUPERIOR COMPLETO
1196,07/04/2024,BOM PASTOR,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,20.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1197,07/04/2024,JARDIM COPACABANA,ESTELIONATO,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,64.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
1198,07/04/2024,BELVEDERE,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,29.0,BRANCA,SUPERIOR COMPLETO
1199,07/04/2024,ALTEROSA,VIAS DE FATO   AGRESSAO,CONSUMADO,SEM EMPREGO DE INSTRUMENTOS,62.0,BRANCA,ALFABETIZADO
1200,07/04/2024,ALTEROSA,DANO,CONSUMADO,SEM EMPREGO DE INSTRUMENTOS,36.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1201,07/04/2024,CENTRO,FURTO,CONSUMADO,MEIO DESCONHECIDO,49.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1202,07/04/2024,BELVEDERE,FURTO,CONSUMADO,MEIO DESCONHECIDO,18.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1203,07/04/2024,BELVEDERE,FURTO,CONSUMADO,MEIO DESCONHECIDO,24.0,PRETO,SUPERIOR COMPLETO
1204,07/04/2024,INTERLAGOS,AMEACA,CONSUMADO,FALA,54.0,PARDA,ALFABETIZADO
1205,07/05/2023,SANTOS DUMONT,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,35.0,PARDA,POS GRADUACAO
1206,07/05/2023,SAO JOAO DE DEUS,AMEACA,CONSUMADO,FALA,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1207,07/05/2023,SAO CAETANO,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,21.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1208,07/05/2023,SAO JUDAS TADEU,ZOMBA PERTUBA CERIMONIA SIMILAR INDIGENA,CONSUMADO,MEIO ELETRONICO  INTERNET OU SMS ,73.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1209,07/05/2023,TIETE,AMEACA,CONSUMADO,ESCRITA FISICA,65.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1210,07/05/2023,JARDIM DOS CANDIDES,DIFAMACAO,CONSUMADO,FALA,49.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1211,07/05/2023,JARDIM CANDELARIA,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,22.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1212,07/05/2023,SAO FREI GALVAO,AMEACA,CONSUMADO,FALA,27.0,PRETO,SUPERIOR INCOMPLETO
1213,07/05/2024,SAO LUIZ,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,28.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1214,07/05/2024,PADRE EUSTAQUIO,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA COM EMPREGO DE INSTRUMENTOS,67.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
1215,07/05/2024,NOVA FORTALEZA,ESTELIONATO,CONSUMADO,FRAUDE,39.0,BRANCA,SUPERIOR COMPLETO
1216,07/05/2024,CENTRO,DIFAMACAO,CONSUMADO,ESCRITA FISICA,37.0,BRANCA,SUPERIOR COMPLETO
1217,07/05/2024,VILA BELO HORIZONTE,VIAS DE FATO   AGRESSAO,CONSUMADO,VIOLENCIA OU VIAS DE FATO,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1218,07/05/2024,VILA CRUZEIRO,ESTELIONATO,CONSUMADO,FRAUDE,52.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
1219,07/05/2024,CENTRO,VIAS DE FATO   AGRESSAO,CONSUMADO,VIOLENCIA OU GRAVE AMEACA,34.0,PARDA,SUPERIOR COMPLETO
1220,07/05/2024,NOSSA SENHORA DAS GRACAS,FURTO,CONSUMADO,OUTROS MEIOS  DESCREVER EM CAMPO ESPECIFICO ,62.0,PRETO,ESCOLARIDADE   IGNORADA
1221,07/05/2024,TERRA AZUL,VIAS DE FATO   AGRESSAO,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
1222,07/05/2024,NOSSA SENHORA DA CONCEICAO,FURTO,CONSUMADO,VEICULO,22.0,PARDA,ALFABETIZADO
1223,07/05/2024,CENTRO,FURTO,CONSUMADO,ESCALADA,31.0,BRANCA,ALFABETIZADO
1224,07/05/2024,LIBERDADE,INJURIA RACIAL,CONSUMADO,FALA,40.0,BRANCA,SUPERIOR COMPLETO
1225,07/05/2024,SANTA CLARA,LESAO CORPORAL,CONSUMADO,AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS,64.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
